ParticipantID,MotionParallax,TrialNumber,Time,headPositionX,headPositionY,headPositionZ,headRotationX,headRotationY,headRotationZ
sef,1,1,3.006186,0.04102699,2.892894,-15.4374,356.9373,0.8274845,0.4933594,
sef,1,1,3.021797,0.04102622,2.892918,-15.4374,356.945,0.8309114,0.4920388,
sef,1,1,3.036896,0.04118389,2.892583,-15.43716,356.9486,0.8397275,0.4945554,
sef,1,1,3.04482,0.0411856,2.892594,-15.43717,356.9545,0.8386689,0.4826568,
sef,1,1,3.05138,0.04135104,2.892529,-15.4371,356.951,0.8442461,0.4810906,
sef,1,1,3.061745,0.04137385,2.892531,-15.43708,356.9613,0.8381479,0.4835601,
sef,1,1,3.07283,0.04114644,2.892546,-15.43728,356.9564,0.8370594,0.4821053,
sef,1,1,3.084011,0.04106934,2.892618,-15.43736,356.9396,0.8360838,0.478196,
sef,1,1,3.095252,0.04106777,2.892618,-15.43738,356.9376,0.8315744,0.4861519,
sef,1,1,3.106418,0.04098303,2.89262,-15.43747,356.9287,0.8410982,0.4976959,
sef,1,1,3.117208,0.04096953,2.892622,-15.43749,356.9303,0.8425563,0.4983981,
sef,1,1,3.128771,0.04096894,2.892524,-15.43745,356.9168,0.8466592,0.5101852,
sef,1,1,3.13959,0.04096054,2.892539,-15.43747,356.9194,0.8477876,0.5070515,
sef,1,1,3.15774,0.04093827,2.892586,-15.43744,356.9188,0.8467908,0.5102942,
sef,1,1,3.163562,0.04092606,2.892596,-15.43746,356.9231,0.8446931,0.5079449,
sef,1,1,3.17348,0.04108008,2.89256,-15.43729,356.9213,0.8460801,0.5075688,
sef,1,1,3.18464,0.04107221,2.892566,-15.43729,356.9153,0.8456084,0.4985285,
sef,1,1,3.1952,0.04111758,2.892526,-15.43723,356.9178,0.8407782,0.5073943,
sef,1,1,3.206471,0.04110781,2.892525,-15.43723,356.9308,0.8453043,0.5058413,
sef,1,1,3.217428,0.0410959,2.892509,-15.43722,356.9289,0.8498318,0.5021847,
sef,1,1,3.228493,0.04106219,2.892697,-15.43736,356.9319,0.8456458,0.5010578,
sef,1,1,3.239674,0.04105606,2.892692,-15.43736,356.9204,0.8398943,0.5036462,
sef,1,1,3.255436,0.041054,2.892887,-15.43754,356.9173,0.8468793,0.4980746,
sef,1,1,3.262439,0.04104501,2.892914,-15.43757,356.9303,0.8484262,0.5123321,
sef,1,1,3.273219,0.04104281,2.89275,-15.43744,356.9375,0.8458564,0.5135094,
sef,1,1,3.284385,0.04105119,2.892754,-15.43744,356.9232,0.8366465,0.5118981,
sef,1,1,3.295564,0.04101469,2.892803,-15.43739,356.9255,0.8385189,0.5216889,
sef,1,1,3.306043,0.0409711,2.892967,-15.43746,356.933,0.8397333,0.5296057,
sef,1,1,3.317201,0.04095588,2.892974,-15.43746,356.9319,0.8427974,0.5221757,
sef,1,1,3.328443,0.04107093,2.892837,-15.43731,356.9361,0.8523108,0.5088848,
sef,1,1,3.340301,0.04107772,2.892861,-15.4373,356.9364,0.8491491,0.5153393,
sef,1,1,3.350533,0.04101932,2.893076,-15.4376,356.9241,0.8381795,0.5147799,
sef,1,1,3.361791,0.04098172,2.89327,-15.43772,356.925,0.8324118,0.5100306,
sef,1,1,3.373901,0.04097967,2.893276,-15.43773,356.9231,0.8338709,0.5106217,
sef,1,1,3.3844,0.04091273,2.893321,-15.43777,356.9257,0.8272967,0.5068147,
sef,1,1,3.395114,0.04090098,2.893336,-15.43778,356.9224,0.8307498,0.5114544,
sef,1,1,3.406106,0.04087286,2.893334,-15.43771,356.9172,0.8457525,0.513998,
sef,1,1,3.41811,0.04087961,2.893358,-15.43772,356.9283,0.8312995,0.5108504,
sef,1,1,3.428184,0.0408591,2.893372,-15.43773,356.9317,0.8381475,0.5046387,
sef,1,1,3.439168,0.04086875,2.893386,-15.43774,356.9242,0.8272435,0.5177026,
sef,1,1,3.451214,0.04104216,2.893734,-15.43773,356.9329,0.8328434,0.4957177,
sef,1,1,3.461499,0.04104401,2.893742,-15.43773,356.9269,0.8367513,0.4992831,
sef,1,1,3.472718,0.04091162,2.893583,-15.43773,356.9261,0.8333398,0.4952247,
sef,1,1,3.483781,0.04089231,2.893395,-15.43767,356.9264,0.8397284,0.4956625,
sef,1,1,3.494916,0.04088233,2.89341,-15.43768,356.926,0.8382515,0.4963867,
sef,1,1,3.506172,0.04106742,2.892961,-15.43732,356.9406,0.8356608,0.4828248,
sef,1,1,3.517159,0.04105811,2.892948,-15.43731,356.9327,0.8448324,0.4864477,
sef,1,1,3.529029,0.04123535,2.892651,-15.43705,356.9371,0.8234748,0.468261,
sef,1,1,3.539179,0.04122256,2.892652,-15.43703,356.9332,0.8331783,0.4727223,
sef,1,1,3.550427,0.04116344,2.892499,-15.43706,356.9211,0.8158147,0.4801839,
sef,1,1,3.561366,0.04115016,2.892479,-15.43704,356.9252,0.8228678,0.4783739,
sef,1,1,3.572564,0.04122747,2.892215,-15.43698,356.9227,0.8344617,0.4736786,
sef,1,1,3.583803,0.04118446,2.892381,-15.43715,356.9107,0.8311871,0.4811405,
sef,1,1,3.595944,0.04120706,2.89236,-15.43714,356.9218,0.8268281,0.4772294,
sef,1,1,3.60704,0.04120879,2.892344,-15.43714,356.9281,0.8329784,0.4811382,
sef,1,1,3.617164,0.04134221,2.89215,-15.43703,356.9195,0.8278544,0.4685662,
sef,1,1,3.628244,0.04135925,2.892129,-15.43702,356.9224,0.82469,0.4688138,
sef,1,1,3.640563,0.04136019,2.892116,-15.437,356.9198,0.8311327,0.4742261,
sef,1,1,3.65051,0.04090224,2.892384,-15.43736,356.9199,0.8354914,0.4923127,
sef,1,1,3.661482,0.04089589,2.892362,-15.43736,356.9115,0.830622,0.4908517,
sef,1,1,3.672378,0.04102921,2.892672,-15.43749,356.9022,0.8299837,0.4806809,
sef,1,1,3.685699,0.04119036,2.89262,-15.43726,356.9078,0.8282573,0.4742805,
sef,1,1,3.694724,0.04119812,2.892617,-15.43726,356.9097,0.8291082,0.4772131,
sef,1,1,3.706152,0.04107475,2.892863,-15.43757,356.9022,0.8185863,0.4781728,
sef,1,1,3.716815,0.04107448,2.892867,-15.43759,356.9013,0.8232383,0.4753857,
sef,1,1,3.727852,0.04109744,2.892533,-15.43731,356.9088,0.8352966,0.482794,
sef,1,1,3.738945,0.04112852,2.892524,-15.4373,356.9101,0.8253585,0.4919409,
